Reference Id,Rover Id,dX,dY,dZ,M0,Q11,Q12,Q13,Q22,Q23,Q33
GPS2,GPS3,-86.6171,556.7696,-407.8073,0.8241,0.00000047,0.00000031,0.00000051,0.00000034,0.00000039,0.00000088
JACOBS,GPS2,-159.7553,-355.5189,465.5767,0.8949,0.00000056,0.00000036,0.00000064,0.00000038,0.00000045,0.00000109
JACOBS,GPS3,-246.3717,201.2527,57.7681,0.6181,0.00000055,0.00000034,0.00000064,0.00000035,0.00000045,0.00000112
AB43,GPS3,101.1634,342.2637,-427.5682,0.6553,0.00000069,0.00000048,0.00000030,0.00000046,0.00000023,0.00000023
AB43,GPS2,187.4786,-214.1718,-19.7084,0.5380,0.00020089,-0.00020971,-0.00001220,0.00027065,0.00002961,0.00002694
GPS2,GPS3,-86.3017,556.3652,-407.9555,0.6369,0.00020087,-0.00020969,-0.00001221,0.00027064,0.00002962,0.00002694
PU29,GPS3,764.6552,473.9559,-1096.8982,0.5851,0.00000044,0.00000025,0.00000015,0.00000027,0.00000010,0.00000020
PU29,MD13,2307.0213,-967.0145,-1408.5042,0.7601,0.00000096,0.00000050,0.00000029,0.00000044,0.00000016,0.00000025
GPS3,MD13,1542.3679,-1440.9705,-311.6053,1.0021,0.00000101,0.00000052,0.00000028,0.00000045,0.00000016,0.00000026
AB43,PU29,-663.4793,-131.6816,669.3541,0.4178,0.00000032,0.00000020,0.00000019,0.00000023,0.00000019,0.00000025
AB43,30PU,1383.9414,892.5592,-2050.3251,0.9659,0.00000058,0.00000031,0.00000036,0.00000034,0.00000030,0.00000045
PU29,30PU,2047.4205,1024.2398,-2719.6809,0.9789,0.00000060,0.00000034,0.00000039,0.00000036,0.00000034,0.00000049
30PU,JACOBS,-1036.3769,-751.5363,1565.0028,0.7048,0.00000046,0.00000021,0.00000035,0.00000020,0.00000015,0.00000043
30PU,MD13,259.5956,-1991.2683,1311.1775,0.7817,0.00000077,0.00000032,0.00000049,0.00000026,0.00000019,0.00000050
JACOBS,MD13,1295.9735,-1239.7297,-253.8202,0.8901,0.00000111,0.00000044,0.00000078,0.00000032,0.00000029,0.00000076
